date,state,cases_new,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Johor,4,4,0,0,0,0,0,1,0
2020-01-25,Kedah,0,0,0,0,0,0,0,0,0
2020-01-25,Kelantan,0,0,0,0,0,0,0,0,0
2020-01-25,Melaka,0,0,0,0,0,0,0,0,0
2020-01-25,Negeri Sembilan,0,0,0,0,0,0,0,0,0
2020-01-25,Pahang,0,0,0,0,0,0,0,0,0
2020-01-25,Perak,0,0,0,0,0,0,0,0,0
2020-01-25,Perlis,0,0,0,0,0,0,0,0,0
2020-01-25,Pulau Pinang,0,0,0,0,0,0,0,0,0
2020-01-25,Sabah,0,0,0,0,0,0,0,0,0
2020-01-25,Sarawak,0,0,0,0,0,0,0,0,0
2020-01-25,Selangor,0,0,0,0,0,0,0,0,0
2020-01-25,Terengganu,0,0,0,0,0,0,0,0,0
2020-01-25,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
2020-01-25,W.P. Labuan,0,0,0,0,0,0,0,0,0
2020-01-25,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
2020-01-26,Johor,0,0,0,0,0,0,0,0,0
2020-01-26,Kedah,0,0,0,0,0,0,0,0,0
2020-01-26,Kelantan,0,0,0,0,0,0,0,0,0
2020-01-26,Melaka,0,0,0,0,0,0,0,0,0
2020-01-26,Negeri Sembilan,0,0,0,0,0,0,0,0,0
2020-01-26,Pahang,0,0,0,0,0,0,0,0,0
2020-01-26,Perak,0,0,0,0,0,0,0,0,0
2020-01-26,Perlis,0,0,0,0,0,0,0,0,0
2020-01-26,Pulau Pinang,0,0,0,0,0,0,0,0,0
2020-01-26,Sabah,0,0,0,0,0,0,0,0,0
2020-01-26,Sarawak,0,0,0,0,0,0,0,0,0
2020-01-26,Selangor,0,0,0,0,0,0,0,0,0
2020-01-26,Terengganu,0,0,0,0,0,0,0,0,0
2020-01-26,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
2020-01-26,W.P. Labuan,0,0,0,0,0,0,0,0,0
2020-01-26,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
2020-01-27,Johor,0,0,0,0,0,0,0,0,0
2020-01-27,Kedah,0,0,0,0,0,0,0,0,0
2020-01-27,Kelantan,0,0,0,0,0,0,0,0,0
2020-01-27,Melaka,0,0,0,0,0,0,0,0,0
2020-01-27,Negeri Sembilan,0,0,0,0,0,0,0,0,0
2020-01-27,Pahang,0,0,0,0,0,0,0,0,0
2020-01-27,Perak,0,0,0,0,0,0,0,0,0
2020-01-27,Perlis,0,0,0,0,0,0,0,0,0
2020-01-27,Pulau Pinang,0,0,0,0,0,0,0,0,0
2020-01-27,Sabah,0,0,0,0,0,0,0,0,0
2020-01-27,Sarawak,0,0,0,0,0,0,0,0,0
2020-01-27,Selangor,0,0,0,0,0,0,0,0,0
2020-01-27,Terengganu,0,0,0,0,0,0,0,0,0
2020-01-27,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
2020-01-27,W.P. Labuan,0,0,0,0,0,0,0,0,0
2020-01-27,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
2020-01-28,Johor,0,0,0,0,0,0,0,0,0
2020-01-28,Kedah,0,0,0,0,0,0,0,0,0
2020-01-28,Kelantan,0,0,0,0,0,0,0,0,0
2020-01-28,Melaka,0,0,0,0,0,0,0,0,0
2020-01-28,Negeri Sembilan,0,0,0,0,0,0,0,0,0
2020-01-28,Pahang,0,0,0,0,0,0,0,0,0
2020-01-28,Perak,0,0,0,0,0,0,0,0,0
2020-01-28,Perlis,0,0,0,0,0,0,0,0,0
2020-01-28,Pulau Pinang,0,0,0,0,0,0,0,0,0
2020-01-28,Sabah,0,0,0,0,0,0,0,0,0
2020-01-28,Sarawak,0,0,0,0,0,0,0,0,0
2020-01-28,Selangor,0,0,0,0,0,0,0,0,0
2020-01-28,Terengganu,0,0,0,0,0,0,0,0,0
2020-01-28,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
2020-01-28,W.P. Labuan,0,0,0,0,0,0,0,0,0
2020-01-28,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
2020-01-29,Johor,2,2,0,0,0,0,0,2,0
