Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Depressive Disorder,National Estimate,United States,United States,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.5,22.7,24.3,22.7 - 24.3
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.7,30.2,35.2,30.2 - 35.2
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.7,24.1,27.3,24.1 - 27.3
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,24.8,23.3,26.2,23.3 - 26.2
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.2,21.5,25.0,21.5 - 25.0
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,18.4,17.0,19.7,17.0 - 19.7
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,13.6,11.8,15.5,11.8 - 15.5
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,14.4,9.0,21.4,9.0 - 21.4
Symptoms of Depressive Disorder,By Sex,United States,Male,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,20.8,19.6,22.0,19.6 - 22.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,26.1,25.2,27.1,25.2 - 27.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,29.4,26.8,32.1,26.8 - 32.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,21.4,20.6,22.1,20.6 - 22.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.6,23.7,27.5,23.7 - 27.5
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,23.6,20.3,27.1,20.3 - 27.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,28.3,24.8,32.0,24.8 - 32.0
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,32.7,27.8,38.0,27.8 - 38.0
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.4,23.9,26.9,23.9 - 26.9
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,25.6,24.4,26.9,24.4 - 26.9
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,17.6,16.8,18.4,16.8 - 18.4
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,30.8,30.0,31.7,30.0 - 31.7
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1.0,1,"Apr 23 - May 5, 2020",04/23/2020,05/05/2020,40.2,38.1,42.4,38.1 - 42.4
