date,state,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost
2020-03-17,Johor,1,0,0,0
2020-03-17,Kedah,0,0,0,0
2020-03-17,Kelantan,0,0,0,0
2020-03-17,Melaka,0,0,0,0
2020-03-17,Negeri Sembilan,0,0,0,0
2020-03-17,Pahang,0,0,0,0
2020-03-17,Perak,0,0,0,0
2020-03-17,Perlis,0,0,0,0
2020-03-17,Pulau Pinang,0,0,0,0
2020-03-17,Sabah,0,0,0,0
2020-03-17,Sarawak,1,0,0,0
2020-03-17,Selangor,0,0,0,0
2020-03-17,Terengganu,0,0,0,0
2020-03-17,W.P. Kuala Lumpur,0,0,0,0
2020-03-17,W.P. Labuan,0,0,0,0
2020-03-17,W.P. Putrajaya,0,0,0,0
2020-03-18,Johor,0,0,0,0
2020-03-18,Kedah,0,0,0,0
2020-03-18,Kelantan,0,0,0,0
2020-03-18,Melaka,0,0,0,0
2020-03-18,Negeri Sembilan,0,0,0,0
2020-03-18,Pahang,0,0,0,0
2020-03-18,Perak,0,0,0,0
2020-03-18,Perlis,0,0,0,0
2020-03-18,Pulau Pinang,0,0,0,0
2020-03-18,Sabah,0,0,0,0
2020-03-18,Sarawak,0,0,0,0
2020-03-18,Selangor,0,0,0,0
2020-03-18,Terengganu,0,0,0,0
2020-03-18,W.P. Kuala Lumpur,0,0,0,0
2020-03-18,W.P. Labuan,0,0,0,0
2020-03-18,W.P. Putrajaya,0,0,0,0
2020-03-19,Johor,0,0,0,0
2020-03-19,Kedah,0,0,0,0
2020-03-19,Kelantan,0,0,0,0
2020-03-19,Melaka,0,0,0,0
2020-03-19,Negeri Sembilan,0,0,0,0
2020-03-19,Pahang,0,0,0,0
2020-03-19,Perak,0,0,0,0
2020-03-19,Perlis,0,0,0,0
2020-03-19,Pulau Pinang,0,0,0,0
2020-03-19,Sabah,0,0,0,0
2020-03-19,Sarawak,0,0,0,0
2020-03-19,Selangor,0,0,0,0
2020-03-19,Terengganu,0,0,0,0
2020-03-19,W.P. Kuala Lumpur,0,0,0,0
2020-03-19,W.P. Labuan,0,0,0,0
2020-03-19,W.P. Putrajaya,0,0,0,0
2020-03-20,Johor,0,0,0,0
2020-03-20,Kedah,0,0,0,0
2020-03-20,Kelantan,0,0,0,0
2020-03-20,Melaka,0,0,0,0
2020-03-20,Negeri Sembilan,0,0,0,0
2020-03-20,Pahang,0,0,0,0
2020-03-20,Perak,0,0,0,0
2020-03-20,Perlis,0,0,0,0
2020-03-20,Pulau Pinang,0,0,0,0
2020-03-20,Sabah,1,0,0,0
2020-03-20,Sarawak,0,0,0,0
2020-03-20,Selangor,0,0,0,0
2020-03-20,Terengganu,0,0,0,0
2020-03-20,W.P. Kuala Lumpur,0,0,0,0
2020-03-20,W.P. Labuan,0,0,0,0
2020-03-20,W.P. Putrajaya,0,0,0,0
2020-03-21,Johor,0,0,0,0
2020-03-21,Kedah,0,0,0,0
2020-03-21,Kelantan,1,0,0,0
2020-03-21,Melaka,1,0,0,0
2020-03-21,Negeri Sembilan,0,0,0,0
2020-03-21,Pahang,0,0,0,0
2020-03-21,Perak,0,0,0,0
2020-03-21,Perlis,0,0,0,0
2020-03-21,Pulau Pinang,0,0,0,0
2020-03-21,Sabah,0,0,0,0
2020-03-21,Sarawak,1,0,0,0
2020-03-21,Selangor,0,0,0,0
2020-03-21,Terengganu,0,0,0,0
2020-03-21,W.P. Kuala Lumpur,1,0,0,0
2020-03-21,W.P. Labuan,0,0,0,0
2020-03-21,W.P. Putrajaya,0,0,0,0
2020-03-22,Johor,0,0,0,0
2020-03-22,Kedah,0,0,0,0
2020-03-22,Kelantan,0,0,0,0
2020-03-22,Melaka,0,0,0,0
2020-03-22,Negeri Sembilan,0,0,0,0
2020-03-22,Pahang,0,0,0,0
2020-03-22,Perak,0,0,0,0
2020-03-22,Perlis,1,0,0,0
2020-03-22,Pulau Pinang,1,0,0,0
2020-03-22,Sabah,0,0,0,0
2020-03-22,Sarawak,1,0,0,0
2020-03-22,Selangor,0,0,0,0
2020-03-22,Terengganu,0,0,0,0
2020-03-22,W.P. Kuala Lumpur,1,0,0,0
2020-03-22,W.P. Labuan,0,0,0,0
2020-03-22,W.P. Putrajaya,0,0,0,0
2020-03-23,Johor,3,0,0,0
2020-03-23,Kedah,0,0,0,0
2020-03-23,Kelantan,0,0,0,0
2020-03-23,Melaka,0,0,0,0
2020-03-23,Negeri Sembilan,0,0,0,0
