date,state,daily_partial,daily_full,daily_booster,daily_booster2,daily,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul
2021-02-24,Johor,2,0,0,0,2,2,0,0,0,2
2021-02-24,Kedah,0,0,0,0,0,0,0,0,0,0
2021-02-24,Kelantan,1,0,0,0,1,1,0,0,0,1
2021-02-24,Melaka,0,0,0,0,0,0,0,0,0,0
2021-02-24,Negeri Sembilan,0,0,0,0,0,0,0,0,0,0
2021-02-24,Pahang,0,0,0,0,0,0,0,0,0,0
2021-02-24,Perak,0,0,0,0,0,0,0,0,0,0
2021-02-24,Perlis,0,0,0,0,0,0,0,0,0,0
2021-02-24,Pulau Pinang,0,0,0,0,0,0,0,0,0,0
2021-02-24,Sabah,1,1,0,0,2,1,1,0,0,2
2021-02-24,Sarawak,1,2,0,0,3,1,2,0,0,3
2021-02-24,Selangor,0,0,0,0,0,0,0,0,0,0
2021-02-24,Terengganu,0,0,0,0,0,0,0,0,0,0
2021-02-24,W.P. Kuala Lumpur,41,0,0,0,41,41,0,0,0,41
2021-02-24,W.P. Labuan,0,0,0,0,0,0,0,0,0,0
2021-02-24,W.P. Putrajaya,20,0,0,0,20,20,0,0,0,20
2021-02-25,Johor,80,0,0,0,80,82,0,0,0,82
2021-02-25,Kedah,0,0,0,0,0,0,0,0,0,0
2021-02-25,Kelantan,0,0,0,0,0,1,0,0,0,1
2021-02-25,Melaka,0,0,0,0,0,0,0,0,0,0
2021-02-25,Negeri Sembilan,0,0,0,0,0,0,0,0,0,0
2021-02-25,Pahang,123,0,0,0,123,123,0,0,0,123
2021-02-25,Perak,297,0,0,0,297,297,0,0,0,297
2021-02-25,Perlis,0,0,0,0,0,0,0,0,0,0
2021-02-25,Pulau Pinang,0,0,0,0,0,0,0,0,0,0
2021-02-25,Sabah,1,0,0,0,1,2,1,0,0,3
2021-02-25,Sarawak,2,2,0,0,4,3,4,0,0,7
2021-02-25,Selangor,43,0,0,0,43,43,0,0,0,43
2021-02-25,Terengganu,0,0,0,0,0,0,0,0,0,0
2021-02-25,W.P. Kuala Lumpur,547,0,0,0,547,588,0,0,0,588
2021-02-25,W.P. Labuan,2,0,0,0,2,2,0,0,0,2
2021-02-25,W.P. Putrajaya,55,0,0,0,55,75,0,0,0,75
2021-02-26,Johor,0,0,0,0,0,82,0,0,0,82
2021-02-26,Kedah,6,0,0,0,6,6,0,0,0,6
2021-02-26,Kelantan,0,0,0,0,0,1,0,0,0,1
2021-02-26,Melaka,259,0,0,0,259,259,0,0,0,259
2021-02-26,Negeri Sembilan,0,0,0,0,0,0,0,0,0,0
2021-02-26,Pahang,773,0,0,0,773,896,0,0,0,896
2021-02-26,Perak,570,0,0,0,570,867,0,0,0,867
2021-02-26,Perlis,156,0,0,0,156,156,0,0,0,156
2021-02-26,Pulau Pinang,326,0,0,0,326,326,0,0,0,326
2021-02-26,Sabah,12,0,0,0,12,14,1,0,0,15
2021-02-26,Sarawak,1373,3,0,0,1376,1376,7,0,0,1383
2021-02-26,Selangor,279,0,0,0,279,322,0,0,0,322
2021-02-26,Terengganu,11,0,0,0,11,11,0,0,0,11
2021-02-26,W.P. Kuala Lumpur,329,0,0,0,329,917,0,0,0,917
2021-02-26,W.P. Labuan,0,0,0,0,0,2,0,0,0,2
2021-02-26,W.P. Putrajaya,19,0,0,0,19,94,0,0,0,94
2021-02-27,Johor,3,0,0,0,3,85,0,0,0,85
2021-02-27,Kedah,36,1,0,0,37,42,1,0,0,43
2021-02-27,Kelantan,0,0,0,0,0,1,0,0,0,1
2021-02-27,Melaka,16,0,0,0,16,275,0,0,0,275
2021-02-27,Negeri Sembilan,0,1,0,0,1,0,1,0,0,1
2021-02-27,Pahang,1765,0,0,0,1765,2661,0,0,0,2661
2021-02-27,Perak,242,2,0,0,244,1109,2,0,0,1111
2021-02-27,Perlis,3,0,0,0,3,159,0,0,0,159
2021-02-27,Pulau Pinang,6,0,0,0,6,332,0,0,0,332
2021-02-27,Sabah,571,0,0,0,571,585,1,0,0,586
2021-02-27,Sarawak,3630,2,0,0,3632,5006,9,0,0,5015
2021-02-27,Selangor,78,0,0,0,78,400,0,0,0,400
2021-02-27,Terengganu,1,0,0,0,1,12,0,0,0,12
2021-02-27,W.P. Kuala Lumpur,227,0,0,0,227,1144,0,0,0,1144
2021-02-27,W.P. Labuan,136,0,0,0,136,138,0,0,0,138
2021-02-27,W.P. Putrajaya,6,0,0,0,6,100,0,0,0,100
2021-02-28,Johor,829,0,0,0,829,914,0,0,0,914
2021-02-28,Kedah,785,1,0,0,786,827,2,0,0,829
2021-02-28,Kelantan,162,0,0,0,162,163,0,0,0,163
2021-02-28,Melaka,0,0,0,0,0,275,0,0,0,275
2021-02-28,Negeri Sembilan,0,0,0,0,0,0,1,0,0,1
2021-02-28,Pahang,100,0,0,0,100,2761,0,0,0,2761
2021-02-28,Perak,134,0,0,0,134,1243,2,0,0,1245
2021-02-28,Perlis,0,0,0,0,0,159,0,0,0,159
2021-02-28,Pulau Pinang,12,0,0,0,12,344,0,0,0,344
2021-02-28,Sabah,468,0,0,0,468,1053,1,0,0,1054
2021-02-28,Sarawak,3191,3,0,0,3194,8197,12,0,0,8209
2021-02-28,Selangor,67,2,0,0,69,467,2,0,0,469
2021-02-28,Terengganu,460,0,0,0,460,472,0,0,0,472
2021-02-28,W.P. Kuala Lumpur,150,0,0,0,150,1294,0,0,0,1294
2021-02-28,W.P. Labuan,361,0,0,0,361,499,0,0,0,499
2021-02-28,W.P. Putrajaya,1,0,0,0,1,101,0,0,0,101
2021-03-01,Johor,2150,0,0,0,2150,3064,0,0,0,3064
2021-03-01,Kedah,1065,1,0,0,1066,1892,3,0,0,1895
2021-03-01,Kelantan,1795,0,0,0,1795,1958,0,0,0,1958
2021-03-01,Melaka,157,0,0,0,157,432,0,0,0,432
2021-03-01,Negeri Sembilan,585,0,0,0,585,585,1,0,0,586
2021-03-01,Pahang,1208,1,0,0,1209,3969,1,0,0,3970
2021-03-01,Perak,1892,1,0,0,1893,3135,3,0,0,3138
2021-03-01,Perlis,354,0,0,0,354,513,0,0,0,513
2021-03-01,Pulau Pinang,447,0,0,0,447,791,0,0,0,791
2021-03-01,Sabah,134,0,0,0,134,1187,1,0,0,1188
2021-03-01,Sarawak,1742,2,0,0,1744,9939,14,0,0,9953
2021-03-01,Selangor,611,1,0,0,612,1078,3,0,0,1081
2021-03-01,Terengganu,0,0,0,0,0,472,0,0,0,472
2021-03-01,W.P. Kuala Lumpur,2365,0,0,0,2365,3659,0,0,0,3659
2021-03-01,W.P. Labuan,452,0,0,0,452,951,0,0,0,951
2021-03-01,W.P. Putrajaya,440,0,0,0,440,541,0,0,0,541
2021-03-02,Johor,1490,0,0,0,1490,4554,0,0,0,4554
2021-03-02,Kedah,1189,0,0,0,1189,3081,3,0,0,3084
2021-03-02,Kelantan,2870,0,0,0,2870,4828,0,0,0,4828
2021-03-02,Melaka,1087,0,0,0,1087,1519,0,0,0,1519
2021-03-02,Negeri Sembilan,1325,0,0,0,1325,1910,1,0,0,1911
2021-03-02,Pahang,2106,0,0,0,2106,6075,1,0,0,6076
2021-03-02,Perak,2546,0,0,0,2546,5681,3,0,0,5684
2021-03-02,Perlis,538,0,0,0,538,1051,0,0,0,1051
2021-03-02,Pulau Pinang,1045,0,0,0,1045,1836,0,0,0,1836
2021-03-02,Sabah,368,1,0,0,369,1555,2,0,0,1557
2021-03-02,Sarawak,636,3,0,0,639,10575,17,0,0,10592
2021-03-02,Selangor,1208,0,0,0,1208,2286,3,0,0,2289
2021-03-02,Terengganu,2058,0,0,0,2058,2530,0,0,0,2530
2021-03-02,W.P. Kuala Lumpur,2344,0,0,0,2344,6003,0,0,0,6003
2021-03-02,W.P. Labuan,390,0,0,0,390,1341,0,0,0,1341
2021-03-02,W.P. Putrajaya,484,0,0,0,484,1025,0,0,0,1025
2021-03-03,Johor,2068,1,0,0,2069,6622,1,0,0,6623
2021-03-03,Kedah,1404,0,0,0,1404,4485,3,0,0,4488
2021-03-03,Kelantan,3395,0,0,0,3395,8223,0,0,0,8223
2021-03-03,Melaka,1097,0,0,0,1097,2616,0,0,0,2616
2021-03-03,Negeri Sembilan,1219,0,0,0,1219,3129,1,0,0,3130
2021-03-03,Pahang,1316,0,0,0,1316,7391,1,0,0,7392
2021-03-03,Perak,1974,0,0,0,1974,7655,3,0,0,7658
2021-03-03,Perlis,541,0,0,0,541,1592,0,0,0,1592
2021-03-03,Pulau Pinang,1103,0,0,0,1103,2939,0,0,0,2939
2021-03-03,Sabah,299,0,0,0,299,1854,2,0,0,1856
2021-03-03,Sarawak,494,2,0,0,496,11069,19,0,0,11088
2021-03-03,Selangor,2125,0,0,0,2125,4411,3,0,0,4414
2021-03-03,Terengganu,2281,1,0,0,2282,4811,1,0,0,4812
2021-03-03,W.P. Kuala Lumpur,2587,0,0,0,2587,8590,0,0,0,8590
2021-03-03,W.P. Labuan,298,2,0,0,300,1639,2,0,0,1641
2021-03-03,W.P. Putrajaya,482,0,0,0,482,1507,0,0,0,1507
2021-03-04,Johor,1972,3,0,0,1975,8594,4,0,0,8598
2021-03-04,Kedah,724,1,0,0,725,5209,4,0,0,5213
2021-03-04,Kelantan,3408,0,0,0,3408,11631,0,0,0,11631
2021-03-04,Melaka,989,0,0,0,989,3605,0,0,0,3605
2021-03-04,Negeri Sembilan,1231,0,0,0,1231,4360,1,0,0,4361
2021-03-04,Pahang,1131,0,0,0,1131,8522,1,0,0,8523
2021-03-04,Perak,1026,0,0,0,1026,8681,3,0,0,8684
2021-03-04,Perlis,298,0,0,0,298,1890,0,0,0,1890
2021-03-04,Pulau Pinang,1122,0,0,0,1122,4061,0,0,0,4061
2021-03-04,Sabah,1762,4,0,0,1766,3616,6,0,0,3622
2021-03-04,Sarawak,389,5,0,0,394,11458,24,0,0,11482
2021-03-04,Selangor,2265,1,0,0,2266,6676,4,0,0,6680
2021-03-04,Terengganu,4,0,0,0,4,4815,1,0,0,4816
2021-03-04,W.P. Kuala Lumpur,2433,3,0,0,2436,11023,3,0,0,11026
2021-03-04,W.P. Labuan,209,0,0,0,209,1848,2,0,0,1850
2021-03-04,W.P. Putrajaya,548,0,0,0,548,2055,0,0,0,2055
2021-03-05,Johor,337,0,0,0,337,8931,4,0,0,8935
2021-03-05,Kedah,137,2,0,0,139,5346,6,0,0,5352
2021-03-05,Kelantan,742,0,0,0,742,12373,0,0,0,12373
2021-03-05,Melaka,573,0,0,0,573,4178,0,0,0,4178
2021-03-05,Negeri Sembilan,536,0,0,0,536,4896,1,0,0,4897
